
----------------------------------------------- [START 2026-03-16 17:37:20] ---------------------------------------------------

Train Inter:0 | loss:  1.3637686 |PURE_my : 1.0012674 |CM : -0.009998459 |DM : 0.36250114 |TA : 0.0653798 | 0 hr 00 min
Train Inter:100 | loss:  0.32667646 |PURE_my : 0.2717064 |CM : -0.011040525 |DM : 0.054970052 |TA : 0.108068764 | 0 hr 00 min
Train Inter:200 | loss:  0.15390502 |PURE_my : 0.13633782 |CM : -0.010285087 |DM : 0.017567208 |TA : 0.10307413 | 0 hr 00 min
Train Inter:300 | loss:  0.12203558 |PURE_my : 0.107041776 |CM : -0.010718416 |DM : 0.014993804 |TA : 0.12373775 | 0 hr 00 min
Train Inter:400 | loss:  0.111529395 |PURE_my : 0.09560686 |CM : -0.011154349 |DM : 0.01592253 |TA : 0.11342442 | 0 hr 01 min
Train Inter:500 | loss:  0.091146804 |PURE_my : 0.07995361 |CM : -0.011284751 |DM : 0.011193194 |TA : 0.12125504 | 0 hr 01 min
Train Inter:600 | loss:  0.08931609 |PURE_my : 0.082612395 |CM : -0.011378283 |DM : 0.0067036995 |TA : 0.12745035 | 0 hr 01 min
Train Inter:700 | loss:  0.08022836 |PURE_my : 0.05914414 |CM : -0.011152674 |DM : 0.021084217 |TA : 0.122474134 | 0 hr 01 min
Train Inter:800 | loss:  0.06060704 |PURE_my : 0.05091417 |CM : -0.011181639 |DM : 0.009692871 |TA : 0.1239658 | 0 hr 02 min
Train Inter:900 | loss:  0.07289687 |PURE_my : 0.060637534 |CM : -0.010871709 |DM : 0.012259335 |TA : 0.11746317 | 0 hr 02 min
Train Inter:1000 | loss:  0.05474958 |PURE_my : 0.049561262 |CM : -0.0110859 |DM : 0.005188315 |TA : 0.12744159 | 0 hr 02 min
